Title,Ingredients,Steps,Author,Servings,Link
Opor Ayam Putih,"['800 gr ayam', '5 bamer (untuk bamer goreng)', '1 btg serai', '2 lembar daun salam', '2 lembar daun jeruk', ' Bumbu halus👇', '6 baput', '6 bamer', '3 butir kemiri', '3/4 sdt jinten', '1/4 :pala', '1 sdt ketumbar', ' lengkuas', ' Bahan lain 👇', '1 liter air', '2 saset Santan aq pakai fiber cream', '1 sdt garam', '1 saset kaldu bubuk (me;mas*ko)', '1/4 gula dan kasih merica bubuk']","['Ayam yg sudah dibersihkan, aq rebus bentar dan ku kasih daun salam dan garam. Habis itu kubuang airnya', 'Bumbu halus yg sudah dihaluskan, ditumis hingga pecah minyak, masukkan ayam aduk tmbh santan kasih seasoning.', 'Klu dan mendidih tes rasa....... Dirasa uda pas bisa dimatikan dan disajikan dgn sambal bajak (sambel tomat mateng)']",Irawatye (cyra Ye) ,Unknown,https://cookpad.com/id/resep/25797598
Tempe Telur Sambal Daun Jeruk,"['1/2 kg telur puyuh', '3 bgkus tempeh', '10 cabai merah', '10 cabai rawit atau ceplak juga boleh', '5 siung bawang merah', '2 siung bawang putiih', '5-7 lembar daun jeruk']","['Rebus telur -+15 menit', 'Potong tempe menjadi dadu kecil-kecil', 'Goreng telur dan tempe', 'Iris bawang merah dan bawang putih', 'Chopper cabai merah dan rawit', 'Gunting² daun jeruk, buang batang tengah nya', 'Tumis bawang merah dan putih yg sudah di iris, masukkan cabai yg sudah di chopper, tumis setengah matang, lalu masukkan daun jeruk yg sudah di iris atau di gunting tadi, lalu tumis kembali', 'Masukkan tempe dan telur yg sudah di goreng sebelumnya', 'Aduk², tambahkan garam, gula, micin, penyedap rasa dan air secukupnya..', 'Koreksi rasa, jika sudah... Siap di hidangkan 🤤']",Putri Dara Melaty,Banyak,https://cookpad.com/id/resep/25797328
Opor Tahu Daging Sapi,"['10 bh tahu coklat bagi empat', '250 gr Daging sapi (sudah direbus setengah matang)', '100 ml santan Rose Brand', '4 siung Bawang merah', '2 siung Bawang putih', '4 buah Cabe merah', '2 butir Kemiri', '1/2 sdt Merica bubuk', '2 batang Daun bawang', '2 batang Serai', '1 ruas jari Lengkuas', '1 sdt Garam', '1 sdt Gula Pasir ROSE BRAND', '2 sdm Kecap manis', 'secukupnya Kaldu ayam', 'secukupnya MSG']","['Haluskan bawang merah, bawang putih, kemiri, dan cabe merah.', 'Tumis bumbu halus, masukkan daun bawang, serai, dan lengkuas yang sudah digeprek, tumis hingga harum.', 'Tambahkan 1 liter air, aduk rata.', 'Masukkan tahu dan daging sapi.', 'Tambahkan garam, gula, merica, kecap manis. Masukkan santan, aduk hingga bumbu meresap. Terakhir masukkan kaldu ayam dan MSG. Masak dengan api kecil', 'Sajikan dengan taburan bawang goreng']",Marisa DJn 🇮🇩 🇵🇸,6 porsi,https://cookpad.com/id/resep/25791757
Telur Puyuh + Tahu Bumbu Balado,"['1/4 telur puyuh', '1/2 papan tahu putih', ' Bawang merah', ' Bawang putih', ' Cabe merah besar', ' Cabe rawit', ' Tomat', ' Kemiri', ' Gula merah', ' Garam', ' Penyedap', ' Air asam Jawa (sedikit)']","['Rebus telur puyuh kurang lebih 15 menit, setelah masak kupas kulit telur puyuh kemudian goreng sebentar sampai kulit nya menjadi sedikit keras', 'Potong tahu seukuran dadu, goreng setengah matang, lalu tiriskan', 'Haluskan bumbu-bumbu yang sudah disiapkan bisa menggunakan Chopper/di ulek', 'Panaskan sedikit minyak, masukkan bumbu yang sudah di haluskan, tumis sampai bumbu benar-benar matang sempurna (tanek)', 'Masukkan telur puyuh dan tahu, aduk dengan bumbu sampai merata', 'Tambahkan sedikit air agar tidak gosong, tambahkan pula seasoning (garam, gula, penyedap, air asam Jawa)', 'Jika bumbu sudah meresap, koreksi rasa dan siap di sajikan']",Rahma_26,3 orang,https://cookpad.com/id/resep/25797005
Sate Ayam Singapura Devina Hermawan,"['500 gr paha ayam filet', '2 sdm bumbu marinasi instan', '1/4 buah bawang bombai', '3 cm lengkuas', '2 sdm santan', '1 sdm minyak', '3 cm lengkuas', '6 siung bawang merah', '5 siung bawang putih', '3 buah cabai merah tanjung, buang biji', '50 ml minyak', '100 gr kacang tanah goreng', '3 lembar daun jeruk', '325 ml air', '1 sdm gula palem', '1 sdm gula pasir', '2 sdm santan', '1 sdt garam', '3/4 sdt kaldu jamur', 'potong lontong,', 'potong bawang bombay merah,', 'potong timun,', ' nanas, haluskan']","['Potong memanjang ayam lalu marinasi dengan lengkuas parut, bawang bombay parut, bumbu marinasi instan, gula pasir, minyak, dan santan, aduk rata lalu tusukkan ayam dengan tusuk sate sambil ditekan-tekan', 'Iris lengkuas. Masukkan lengkuas, cabai merah tanjung, bawang merah, bawang putih, dan minyak ke dalam chopper, haluskan dan tumis hingga wangi', 'Masukkan kacang tanah goreng ke dalam chopper, blender kasar lalu masukkan ke dalam wajan, tumis sesaat', 'Masukkan air, daun jeruk, gula palem, gula pasir, garam, kaldu jamur, dan santan, masak di api kecil hingga menyusut', 'Oles panggangan dengan minyak, panggang sate hingga matang dan kecokelatan dikedua sisi', 'Sate ayam khas Singapura siap disajikan']",Devina Hermawan ✅,4 porsi,https://cookpad.com/id/resep/25796594
Opor Kuah Putih,"['500 gr daging ayam', '1 bungkus santan instan Rose Brand', '1 batang sereh digeprek', '1 jempol lengkuas digeprek', '2 lembar daun salam', '2 lembar daun jeruk', '400 ml air', 'Secukupnya minyak untuk menumis', '8 siung bawang merah', '3 siung bawang putih', '3 butir kemiri', '3 cm jahe', '1 sdt ketumbar bubuk', '1/2 sdt lada bubuk', '1 sdt garam', '1/2 sdt micin Asatu Rose Brand', '1/2 sdt gula pasir Rose Brand']","['Siapkan bahan, bersihkan ayam lalu sisihkan, lalu haluskan bumbu halus', 'Panaskan minyak dalam wajan lalu masukkan bumbu halus dan aromatik masak hingga benar2 tanak supaya tidak langu, lalu masukan ayamnya aduk-aduk selama 2 menit agar bumbu meresap, lalu beri air didihkan hingga ayam setengah matang', 'Setelah mendidih masukkan garam, gula pasir Rose Brand, dan micin Asatu Rose Brand. Masak lagi hingga matang dan benar-benar empuk', 'Setelah dirasa ayam sudah empuk masukkan santan instan Rose Brand ukuran 65ml, aduk-aduk terus hingga menyatu dan matang sempurna', 'Opor ayam kuah putih siap di sajikan,']",Ummu Hamzah ,5 porsi,https://cookpad.com/id/resep/25795701
Sawi Putih Isi Tahu Bakso Kukus 🧄🥬,"['8 lembar sawi putih', '3 buah tahu putih', '4 bakso dihaluskan / ayam giling', '1/2 bungkus bawang putih bubuk', '1 batang daun bawang, iris tipis', '1 buah wortel', '1 sdm tepung tapioka', '1/4 sdt merica', 'secukupnya Garam', 'secukupnya Penyedap']","['Kukus sawi putih sebentar sampai layu, lalu angkat.', 'Haluskan tahu, campur dengan bakso halus.', 'Tambahkan bawang putih, daun bawang, wortel, tepung tapioka, merica, garam, dan penyedap. Aduk rata.', 'Ambil sawi putih, isi dengan adonan secukupnya lalu gulung seperti rolade.', 'Susun dalam kukusan yang sudah panas.', 'Kukus dengan api sedang selama ±20 menit hingga matang.', 'Angkat dan sajikan hangat.']",fani_cookingday,2 orang,https://cookpad.com/id/resep/25735934
111. Sambal Mie Kering Kacang Tanah,"['250 gr kacang tanah', '3 bks / 150 gr mie instan (pisahkan bumbunya)', 'Secukupnya minyak goreng', 'Secukupnya garam, gula &amp; penyedap rasa', '10 bh cabe merah', '5 bh cabe rawit', '4 siung bawang merah', '2 siung bawang putih']","['Panaskan minyak lalu goreng kacang tanah hingga matang. Tiriskan lalu sisihkan.', 'Goreng mie instan yang sudah dihancurkan kasar hingga matang & kuning kecoklatan. Angkat dan tiriskan.', 'Tumis bumbu yang sudah dihaluskan hingga tanak. Beri garam, gula, penyedap rasa dan bumbu bawaan mie instan. Aduk rata.', 'Koreksi rasa. Jika rasa sudah pas dan bumbu sudah matang sempurna, matikan kompor.', 'Masukkan kacang tanah dan mie instan yang sudah digoreng tadi lalu aduk rata. Angkat & sajikan. Untuk penyimpanan, masukkan dalam toples dan tutup rapat. Selamat mencoba.']",Ciyie (Sri Lestari),Unknown,https://cookpad.com/id/resep/25791750
Sambal Petis,"['128 gr Petis', '5 siung bawang putih', '2 siung bawang merah', '1/2 ruas kunci', '1/2 sdt kunyit halus', '6-7 lembar daun jeruk purut', 'secukupnya cabe rawit', 'Secukupnya air', 'Secukupnya minyak goreng utk menumis']","['Petis aduk dengan air secukupnya agar tidak bergerindil / menggumpal memudahkan utk d masak', 'Haluskan 2 siung bawang putih, bawang merah, kunci, kunyit halus, 5lembar jeruk purut serta cabe rawit dan air secukupnya', 'Iris tipis sisa bawang', 'Tumis bumbu diatas dengan minyak goreng secukupnya saja, jangan lupa masuk kan sisa daun jeruk purut utuh atau cabe rawit utuh (bagi yg suka : me - dihaluskan)', 'Setelah bumbu harum masukkan petis yaaa, masak sampai meletup, (jika di rasa kurang encer bisa tambahkan air, utk ke enceran suka suka ya... Alias Monggo kerso aja 🙏☺️ matikan kompor, Sajikan with tahu petis, ote- ote_weci_ heci_bala-bala, lontong sayur, telur godok dkk😁🥰']",Kartika Kwee,Beberapa orang,https://cookpad.com/id/resep/25795003
Pangsit Sambal Jahe Kacang,"['30 lembar kulit pangsit', 'Secukupnya wortel parut', 'secukupnya Minyak', 'secukupnya Adonan ayam serbaguna']","['Siapkan kulit pangsit dan ayam giling serbaguna, beri parutan wortel. Masukkan kedalam kulit pangsit', 'Panaskan minyak goreng pangsit dengan api kecil hingga kuning keemasan dan matang, di balik', 'Angkat dan tiriskan siapkan bumbu sambal jahe kacang', 'Simpan di atas piring saji pangsit yang sudah digoreng kucurkan sambal jahe kacang kemudian beri kecap manis Sajikan.....']",Chiensyn Kuliner  ,5 porsi,https://cookpad.com/id/resep/25581249
Sambal kacang,"['1 kg kacang kupas', ' Bumbu', '600 gram gula merah', '10 buah bawang putih', '6 buah kencur', '10 lembar daun jeruk', 'secukupnya Asam Jawa', '2 sendok makan garam', '250 gram cabe rawit', '100 gram cabe besar']","['Goreng kacang sampai matang', 'Goreng semua bumbu sampai matang (kecuali gula merah, daun jeruk dan garam)', 'Kacang dan bumbu dijadikan satu kemudian haluskan..', 'Sajikan..']",Risma Meina Putri,Unknown,https://cookpad.com/id/resep/25794258
Sambal tuna,"['3 sapit tuna asap', '2 papan petai', ' Bumbu', '10 buah cabe rawit', '5 buah cabe besar', '5 buah cabe keriting', '7 buah bawang merah', '7 buah bawang putih', ' Minyak goreng', ' Gula', 'secukupnya Garam', ' Penyedap rasa']","['Lepas ikan asap dari sapitnya', 'Semua bumbu goreng sebentar kemudian chopper kasar..', 'Goreng bumbu yang sudah di chopper bersama pete sampai wangi', 'Kemudian masukkan tuna kedalam bumbu..aduk rata..masukkan garam, gula, penyedap rasa..koreksi rasa..', 'Sajikan..bisa tahan sampai 5 hari..simpan dalam lemari es..apabila mau dimakan bisa dihangatkan lagi..']",Risma Meina Putri,3 orang,https://cookpad.com/id/resep/25794231
Rica rica kepala dan kaki kambing,"['1 kg kepala dan kaki kambing cincang', '1 buah bawang merah besar', '6 siung bawang putih', '5 butir kemiri', '1 kunyit ukuran jari telunjuk', '3 jahe ukuran ibu jari', '2 sdt lada bubuk', '1 sdt garam (sesuaikan)', '1 sdt penyedap rasa/ kaldu jamur', '3 sdm kecap manis', '2 sdt gula pasir', '1 lengkuas ukuran ibu jari', '5 lembar daun salam', 'secukupnya Minyak', '300 ml air', '1 batang daun bawang', '6 buah cabe (iris)']","['Siapkan bahan kepala dan kaki kambing yang sudah dipresto (pisahkan/ buang tulangnya)cuci ulang sampai bersih dan potong kecil (sesuai selera) sisihkan.', 'Haluskan bawang putih, kemiri, kunyit. Jahe, lengkuas digeprek. Iris bawang merah.Panaskan minyak dan tumis semua bumbu hingga harum', 'Tambahkan air masak hingga mendidih lalu masukkan garam, gula, kecap, penyedap, lada bubuk, aduk2 dan koreksi rasanya, jika sudah pas masukan kepala dan kaki kambing.', 'Masak hingga air menyusut/ nyemek lalu tambahkan daun bawang dan irisan cabe.', 'Sajikan dengan taburan bawang goreng, lalap mentimun dan irisan bawang merah jika suka, Selamat mencoba 💚']",jeng hayoone,Unknown,https://cookpad.com/id/resep/25793895
Lemper Ayam,"['1 liter beras ketan', '4 lembar daun pandan', '65 ml santan instan Rose Brand', '250 ml air matang', '2 sdt garam', '2 sdm Minyak goreng Rose Brand', '500 gr dada ayam', '6 siung bawang merah', '3 siung bawang putih', '3 butir kemiri', '1 sdt ketumbar bubuk', '1/4 sdt merica bubuk', '1/4 sdt Jinten (skip)', '5 lembar daun salam', '2 batang sereh', '2 lembar daun jeruk', '1 sdt garam', '1 sdt kaldu bubuk', '100 ml air kaldu']","['Cuci bersih beras ketan, rendam selama 1-3 jam. Kukus beras ketan tambahkan daun pandan selama 25 menit.', 'Pindahkan dalam wadah besar. Campur santan Rose Brand, Minyak Goreng Rose, garam, air matang aduk rata. Dan tuang dalam beras ketan tadi, aduk rata.', 'Kukus kembali nasi ketan selama 30 menit.', 'Rebus ayam setelah matang suwir atau chopper ayam.', 'Haluskan bumbu, tumis bumbu halus dengan Minyak goreng Rose Brand. Tambahkan ayam suwir, seasoning, santan dan air kaldu, aduk rata koreksi rasa.', 'Tata nasi ketan pada cetakan yang sudah di alasi minyak goreng dan daun pisang. Tuang ayam di atas nya ratakan. Tutup lagi dengan nasi ketan tadi ratakan. Kemudian potong-potong.', 'Ambil daun pisang lipat adonan pada daun pisang dan ratakan. Kemudian bakar pada teflon sambil di balik.', 'Sajikan']",RatihAng,14 bh,https://cookpad.com/id/resep/25793790
Sambal Cumi,"['500 g cumi', '3 lembar daun jeruk', ' gula', ' garam', ' saus tiram', '6 baput', '8 bamer (bukan bumer yaa banyakan pusingg, 1 ajaa udahh pegang pala teruss)', '7 cabe rawit merah (no no cabe cabean)', '12 cabe rawit hijau', '2 cabe merah besar', '2 cabe hijau besar']","['Marinasi cumi dengan 1sdt garam dan 1sdt baking powder (agar cumi tidak keras saat dingin) diamkan 15-20menit', 'Cincang bahan cincang, oseng bahan cincang lalu masukkan daun jeruk', 'Lanjut masukkan cumi yang sudah di marinasi (setelah di marinasi di cuci dulu dan ditiriskan bund, di video cuminya direbus tapi saya engakk capekk anak kostt pgn nya buru2). oseng oseng tambahkan garam gula dan saus tiram sesuka seleraa. saya tambahkan kaldu jamur+micinn jugaa.']",Mey Iska,Unknown,https://cookpad.com/id/resep/25793691
Rendang Daging Sapi,"['1 kg daging sapi', '3 buah Kelapa', '5 buah cengkeh', '3 buah kapulaga', '3 buah bunga lawang', '1 biji pala', '5-10 cm kayu manis', '1 sdt ketumbar', '1 sdt jinten', '1 sdt adas', '1 sdt lada', '1 Kelapa Gongseng', '10 siung bamer', '3 siung baput', '10 buah kemiri', '5 lbr daun salam', '5 daun jeruk', '2 lbr daun kunyit', '30 gr jahe', '2 btg sereh', '35 gr lengkuas', '100 gr cabai merah']","['Oseng sampai keluar aroma lalu giling', 'Blender bumbu', 'Lalu siapkan semua', 'Masukkan Kedalam santan', 'Tunggu sampai mendidih santannya', 'Siapkan daging, lalu masukkan, aduk sampai merata', 'Aduk terus', 'Masukkan kelapa Gongseng', 'Dengan api kecil sambil di aduk, sampai kering', 'Setelah penantian ±3 jam siap dihidangkan, Boleh lebih juga ya, Tergantung selera 🥰🤩🫰', 'Enak poll 🤩🥰']",Monica,4 orang,https://cookpad.com/id/resep/25793678
Pepes Tahu,"['4 tahu susu besar', '1 telor', '2 btg daun bawang', '1 sdt kaldu bubuk', '1 sdt micin A satu Rose Brand', '1 sdm gula pasir Rose Brand', '2 sdm minyak Rose Brand buat numis', '1 ikat daun kemangi', ' Bumbu halus:', '3 cabe merah keriting/ selera', '4 bawang merah', '4 bawang putih', 'bungkus Daun pisang buat']","['Haluskan bumbu', 'Tuang minyak Rose Brand ke wajan,lalu tumis bumbu sampai matang', 'Campurkan bumbu dengan tahu, hancurkan. Beti micin A satu Rose Brand', 'Tambahkan gula pasir Rose Brand, kaldu bubuk dan daun bawang iris', 'Tambahkan daun kemangi, telor,aduk', 'Bakar daun pisang sebentar sampai layu, potong beri adonan tahu lalu bungkus', 'Kukus sampai matang', 'Sajikan']",Ratna Rasuan ,12 pc,https://cookpad.com/id/resep/25793410
Sayur Lodeh,"['1 bgks sayur lodeh', '1 SASET bumbu instan sayur lodeh', '3 bawang merah', '3 bawang putih', '1 cabe merah besar', '1 sdt micin A satu Rose Brand', '1 sdm gula pasir Rose Brand', '1/2 sdt kaldu bubuk', '1/2 sdt garam', '600 ml air']","['Cuci sayuran lodeh, panaskan air,rebus jagung 🌽 dan buah melinjo', 'Tambahkan sayuran lainnya,beri bumbu instan sayur lodeh dan garam', 'Tambahkan gula pasir Rose Brand, kaldu bubuk dan micin A satu Rose Brand', 'Setelah sayuran empuk tambahkan santan Rose Brand,aduk sebentar', 'Sajikan']",Ratna Rasuan ,1 panci kecil,https://cookpad.com/id/resep/25793048
Gulai Kepala Kakap Sederhana,"['2 kepala kakap, lumuri dengan perasan air jeruk nipis dan garam, lalu diamkan kurleb 30 menit..cuci di air mengalir, tiriskan', '3 siung bawang merah', '2 siung bawang putih', '5 buah cabe merah', '4 buah cabe galak', '1/2 ruas jari jahe', '1/2 ruas jari kunyit', '2 buah kemiri', 'secukupnya garam', 'secukupnya gula pasir', 'secukupnya kaldu jamur', '1 ruas serai geprek', '2 helai daun salam', '3 helai daun jeruk buang tulangnya']","['Tumis bumbu aromatik terlebih dulu..setelah layu baru masukkan bumbu halus..', 'Tumis hingga matang agar tidak langu..', 'Masukkan kepala kakap, tambahkan air secukupnya..Lalu masak hingga kuah menyusut, kental, nyemek²..', 'Koreksi rasa.. angkat..sajikan..', 'Taraa..gulai kepala kakap dengan bumbu sederhana siapp dinikmati bersama nasi hangat..']",@priliaps,2 porsi,https://cookpad.com/id/resep/25792844
Tongseng Solo,"['300 gram daging sapi, potong-potong', '4 siung bawang putih', '5 butir bawang merah', '1/2 sdt lada butir', '4 butir kemiri', '1 ruas kunyit', '5 buah cabai keriting merah', '5 buah cabai rawit merah', '1 ruas jahe, memarkan', '2 batang serai, memarkan', '3 lembar daun jeruk, sobek-sobek', '1 lembar salam', '5 buah cabai rawit utuh', '1/2 buah tomat merah, potong-potong', '1 buah tomat hijau, potong-potong', '1 sdt garam', '1 sdt Gula Pasir Rose Brand', '2 sdm kecap manis', '1 bungkus Santan Kelapa Rose Brand']","['Panaskan Minyak Goreng Rose Brand. Tumis semua bumbu halus sampai harum. Masukkan bumbu aromatik, teruskan menumis', 'Masukkan daging, aduk-aduk sampai daging berubah warna. Tuang air secukupnya', 'Bubuhkan garam, Gula Pasir Rose Brand dan kecap manis aduk rata. Tutup', 'Masak sampai daging empuk dan bumbu meresap. Masukkan Santan Kelapa Rose Brand. Aduk-aduk', 'Masukkan cabai utuh, tomat, dan kol. Koreksi rasa. Angkat, sajikan']",fransiska arie,3 orang,https://cookpad.com/id/resep/25792833
Tongseng ayam,"['500 gr paha ayam', '3 butir tomat merah', '3 batang wortel', '1 pcs santan kara', '4 sendok makan kecap manis', '2 sendok makan minyak goreng untuk menumis bumbu', '5 siung bawang merah', '6 siung bawang putih', '3 buah kemiri', '1 ruas kunyit', '1 ruas jahe', '1/2 sendok makan ketumbar bubuk', '3 buah cabe merah keriting', 'Secukupnya garam, gula, dan penyedap', '2 batang sereh', '5 lembar daun salam', '5 lembar daun jeruk']","['Potong ayam ukuran sedang, lalu bersihkan.', 'Didihkan air, lalu rebus ayam terlebih dahulu untuk membuang darah ayam agar tidak amis. Setelah direbus sebentar, lalu tiriskan.', 'Sebelum dihaluskan sangrai terlebih dahulu bumbu halus, lalu haluskan menggunakan blender, jika diulek aromanya akan lebih keluar.', 'Tumis bumbu halus dan masukkan bumbu cemplung. Lalu tambahkan air secukupnya.', 'Setelah air mendidih, masukkan ayam yang sudah direbus tadi. Lalu tambahkan kecap manis, wortel, dan tomat. Tambahkan juga gula, garam, dan penyedap, koreksi rasa dan siap disajikan.']",Wulan Ramdhani,4 orang,https://cookpad.com/id/resep/25792791
Ayam Goreng Bumbu Sate Madura,"['300 g (potong dadu atau sesuai selera) Dada ayam', '5 siung Bawang merah', '3 siung Bawang putih', '3 buah (atau sesuai selera) Cabe merah', '3 butir Kemiri', '50 g Kacang tanah mentah', '1 sdm Gula merah', '2 sdm Kecap manis', '1/2 sdt Penyedap rasa', '2 lembar Daun jeruk', 'secukupnya Minyak goreng']","['Goreng bawang merah, bawang putih, cabe, kemiri, dan kacang tanah hingga harum.', 'Haluskan semua bahan yang sudah digoreng.', 'Tumis bumbu halus, masukkan gula merah, kecap, penyedap rasa, dan daun jeruk.', 'Masukkan ayam, aduk rata, masak hingga minyak keluar dan ayam matang.', 'Angkat dan sajikan.']",Suwangi,2 porsi,https://cookpad.com/id/resep/25792776
Gulai Ayam Nangka,"['1 bungkus nangka, rebus dengan sedikit garam dan minyak goreng', '5 potong ayam, rebus', '1 bungkus Santan Kelapa Rose Brand (65 ml)', '5 butir bawang merah', '3 siung bawang putih', '2 buah cabai merah besar', '3 buah cabai merah keriting', '3 buah cabai rawit merah', '3 cm kunyit', '4 butir kemiri', '1/2 sdt ketumbar', '1/2 sdt lada', '2 batang serai', '1 lembar salam', '3 lembar daun jeruk, sobek-sobek', '1 ruas lengkuas', '2 butir kapulaga', '1 buah kembang lawang', '1 sdt garam', '1/2 sdt Gula Pasir Rose Brand', '1/2 sdt kaldu jamur']","['Tumis bumbu halus sampai harum, masukkan bumbu aromatik, teruskan menumis', 'Masukkan bumbu dalam rebusan ayam. Bubuhkan garam, Gula Pasir Rose Brand, dan kaldu jamur, didihkan', 'Masukkan nangka yang sudah direbus, masak beberapa saat. Tuang Santan Kelapa Rose Brand. Didihkan sambil aduk-aduk', 'Koreksi rasa', 'Angkat, sajikan']",fransiska arie,3 orang,https://cookpad.com/id/resep/25792466
Tongkol Balado,"['6 potong ikan tongkol (boleh di kukus atau goreng,saya di kukus)', '8 buah cabe merah keriting', '5 buah cabe rawit(boleh disesuaikan)', '5 siung bawang merah', '3 siung bawang putih', '3 lembar daun jeruk', 'Secukupnya garam', 'Secukupnya totole', 'Secukupnya gula pasir', 'Secukupnya minyak untuk menumis']","['Haluskan bawang merah,bawang putih,cabe merah dan rawit (boleh di blender atau uleg)', 'Tumis bumbu halus dan daun jeruk hingga bumbu matang. Tambahkan bumbu-bumbu.koreksi rasa', 'Setelah semua rasa sudah pas, masukan ikan tongkol. Aduk hingga rata. Sajikan']",Dapur Tabby,Unknown,https://cookpad.com/id/resep/25792544
Tongkol Balado Kids Friendly (Tidak Pedas),"['4 potong ikan tongkol, kukus,suir2,sisihkan', '4 siung bawang merah', '3 siung bawang putih', '1 buah tomat', '2 buah cabe merah besar,buang biji jangan sampai ada bijinya', '2 lembar daun jeruk', 'Secukupnya garam', 'Secukupnya totole', 'Secukupnya gula pasir', 'Secukupnya minyak untuk menumis']","['Blender atau uleg halus bawang merah,bawang putih,tomat dan cabe', 'Tumis bumbu halus dan daun jeruk hingga bumbu matang.', 'Setelah bumbu matang,tambahkan bumbu-bumbu dan koreksi rasa. Jika sudah pas, masukan ikan tongkol,aduk hingga rata. Sajikan.']",Dapur Tabby,Unknown,https://cookpad.com/id/resep/25792522
Sate Telur Puyuh Bumbu Kecap Meresap ala Jogja,"['40 butir telur puyuh, rebus 5 menit, kupas', '2 lembar daun salam', '1 ruas lengkuas, geprek', '2 batang serai, geprek', '300 ml air', 'secukupnya Tusuk sate', '6 siung bawang merah', '4 siung bawang putih', '4 butir kemiri sangrai', '1 sdt ketumbar sangrai', '1/2 sdt merica', '1 sdt garam', '1/2 sdt gula merah sisir', '8 sdm kecap manis (me : Bango)', '2 sdm kecap asin', '1 sdm margarin', '1 sdm minyak goreng', '1 sdm air asam jawa', '50 ml air sisa ungkep telur']","['Siapkan bahan', 'Tumis bumbu halus dengan sedikit minyak sampai wangi. Masukkan daun salam, lengkuas, serai. \nMasukkan telur puyuh yang udah dikupas, aduk rata. \nTuang air 300ml, masak dengan api kecil 15 menit sampai air agak surut.', 'Angkat telur, tiriskan. Tusuk 3-4 butir per tusuk.', 'Campur kecap manis, kecap asin, margarin, minyak, air asam, dan 50 ml air sisa ungkep telur. \nOleskan ke sate sambil dibakar bolak-balik 3-4 menit. Oles 2-3 kali sampai bumbu mengkilat dan agak mengental nempel di telur. Margarin + kecap sisa rebusan itu yang bikin bumbu jadi medok, wangi, dan nggak gampang kering.', 'Hasilnya telur puyuhnya warna coklat mengkilat, wangi kecap bakar, pas digigit bumbunya udah masuk sampai dalam. Manis gurihnya pas, nggak eneg.']",ATIKA WAHYU,10 tusuk,https://cookpad.com/id/resep/25790735
Sambal Cakalang Asap,"['2 ekor ikan cakalang asap', '6 lembar daun jeruk, iris -iris', '5 gr terasi sangrai/bakar', 'Secukupnya garam, gula dan kaldu jamur minyak goreng', ' Bumbu halus :', '4 buah (ukuran sedang) tomat', '90 gr cabai keriting', '45 gr cabai rawit', '50 gr bawang merah', '25 gr bawang putih']","['Suwir- suwir ikan cakalang, goreng sebentar di minyak panas dan sisihkan', 'Tumis bumbu halus, masukkan irisan daun jeruk, dan terasi masak hingga mengeluarkan minyak, lalu masukkan suwiran ikan cakalang aduk rata masak dengan api sedang agar sambal meresap ke dalam ikan.', 'Siap disantap bersama nasi hangat ❤️']",Hariyanti Ningrum,5 - 6 orang,https://cookpad.com/id/resep/25774871
Gulai Pedas Tahu Tempe,"['1 Papan Tempe, Potong 10 bagian', '5 Tahu Kuning, Potong 2 bagian', '1 Buah Santan Kemasan Rose Brand', '1 Sdt Garam', '1 Sdt Kaldu Ayam Bubuk', '1 Sdt Gula Pasir Rose Brand', '500 Ml Air', 'Secukupnya Minyak Goreng Rose Brand', '5 Buah Cabai Merah', '4 Buah Bawang Merah', '4 Siung Bawang Putih', '2 Buah Kemiri', '1 Sdt Ketumbar Bubuk', '1 Sdt Kunyit Bubuk', '2 Lembar Daun Salam']","['Panaskan minyak goreng Rose Brand dengan api sedang hingga panas lalu goreng tahu dan tempe hingga matang, angkat. Sisihkan.', 'Tumis bumbu hingga matang dan harum. Lalu, masukkan air masak hingga mendidih.', 'Masukkan tahu dan tempe yang sudah digoreng santan Rose Brand, garam, kaldu bubuk dan gula pasir Rose Brand. Masak sebentar. Koreksi rasa.', 'Sajikan Gulai Pedas Tahu Tempe selagi hangat. Selamat mencoba.']",My'L Kitchen ( Libi ),5 Porsi,https://cookpad.com/id/resep/25791709
Sate Padang,"['200 g Daging sapi', '2 sdm Tepung beras', '1 lembar Daun kunyit', '2 sdm Bawang merah goreng', '1 sdt Penyedap A Satu', '400 ml Air', '1/2 sdt Garam', '1/4 sdt Merica', '1 sdm Minyak goreng']","['Tumis daun kunyit dengan minyak hingga harum.', 'Masukkan air daging, santan, dan penyedap A Satu, aduk rata.', 'Larutkan tepung beras dengan sedikit air, tuang ke kuah, aduk terus hingga kental. Masukkan garam dan merica, koreksi rasa.', 'Bakar sate sebentar, tata di piring, siram kuah kental di atasnya.', 'Taburi bawang goreng sebelum disajikan.']",Lina,5 porsi,https://cookpad.com/id/resep/25791440
